label,Company,Seller,Delivery number,Delivery date,Wood species,Lumber quantity,Trunc diameter,Assortment,Size class,Length (m),Quality class,Import,National Trade,Certification,Storage Place
F1L916,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,spruce,0,48,35,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L917,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,spruce,0,72,43,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L918,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,fir,1,1,53,Bloch,D5,5,B,no,yes,no,fir Bloch
F1L919,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,fir,0,56,38,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L920,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,fir,0,53,37,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L921,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,larch,0,94,49,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L922,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,fir,0,3,28,Bloch,D2b,5,C,no,yes,no,fir Bloch
F1L923,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,spruce,0,5,36,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L924,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,spruce,0,53,37,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L925,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,spruce,0,66,41,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L926,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,spruce,1,92,70,Bloch,D6,5,C,no,yes,no,spruce Bloch
F1L927,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,spruce,0,69,42,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L928,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,fir,1,86,69,Bloch,D6,5,C,no,yes,no,fir Bloch
F1L929,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,larch,0,69,42,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L930,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,larch,1,18,55,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L931,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,spruce,0,42,33,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L932,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,larch,0,72,43,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L933,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,fir,0,33,29,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L934,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,larch,0,42,33,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L935,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,larch,0,45,34,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L936,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,fir,0,35,30,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L937,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,spruce,0,79,45,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L938,Sawmill Bioholz GmbH,forest1,29850,05-Mar-2024,larch,1,1,53,Bloch,D5,5,B,no,yes,no,larch Bloch
F1L939,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,5,36,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L940,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,28,27,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L941,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,69,42,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L942,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,0,3,28,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L943,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,62,40,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L944,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,0,26,26,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L945,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,94,49,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L946,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,1,41,60,Bloch,D6,5,C,no,yes,no,larch Bloch
F1L947,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,5,36,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L948,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,0,62,40,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L949,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,62,40,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L950,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,42,33,Bloch,D3a,5,B,no,yes,no,spruce Bloch
F1L951,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,1,14,54,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L952,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,4,32,Bloch,D3a,5,A,no,yes,no,fir Bloch
F1L953,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,0,53,37,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L954,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,86,47,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L955,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,72,43,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L956,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,9,48,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L957,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,62,40,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L958,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,26,26,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L959,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,0,53,37,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L960,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,0,48,35,Bloch,D3b,5,A,no,yes,no,larch Bloch
F1L961,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,1,06,52,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L962,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,53,37,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L963,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,0,79,45,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L964,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,24,25,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L965,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,28,27,Bloch,D2b,5,C,no,yes,no,fir Bloch
F1L966,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,33,29,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L967,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,1,5,62,Bloch,D6,5,B,no,yes,no,fir Bloch
F1L968,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,56,38,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L969,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,larch,0,79,45,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L970,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,66,41,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L971,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,42,33,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L972,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,spruce,0,3,28,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L973,Sawmill Bioholz GmbH,forest1,85590,06-Mar-2024,fir,0,9,48,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L974,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,9,48,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L975,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,larch,0,33,29,Bloch,D2b,5,A,no,yes,no,larch Bloch
F1L976,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,45,34,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L977,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,fir,0,66,41,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L978,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,42,33,Bloch,D3a,5,B,no,yes,no,spruce Bloch
F1L979,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,larch,0,83,46,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L980,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,24,25,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L981,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,fir,0,69,42,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L982,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,fir,0,56,38,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L983,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,76,44,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L984,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,1,02,51,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L985,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,larch,1,6,64,Bloch,D6,5,B,no,yes,no,larch Bloch
F1L986,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,33,29,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L987,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,fir,0,72,43,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L988,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,fir,1,27,57,Bloch,D5,5,B,no,yes,no,fir Bloch
F1L989,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,94,49,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L990,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,1,06,52,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L991,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,53,37,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L992,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,larch,0,53,37,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L993,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,66,41,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L994,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,69,42,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L995,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,fir,1,1,53,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L996,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,48,35,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L997,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,larch,0,48,35,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L998,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,fir,0,69,42,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L999,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,larch,0,86,47,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L1000,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,4,32,Bloch,D3a,5,B,no,yes,no,spruce Bloch
F1L1001,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,larch,0,59,39,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L1002,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,98,50,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L1003,Sawmill Bioholz GmbH,forest1,87120,07-Mar-2024,spruce,0,72,43,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L1004,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,59,39,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L1005,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,45,34,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L1006,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,37,31,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L1007,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,35,30,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L1008,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,69,42,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L1009,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,fir,0,2,23,Bloch,D2a,5,C,no,yes,no,fir Bloch
F1L1010,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,62,40,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L1011,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,24,25,Bloch,D2b,5,C,no,yes,no,larch Bloch
F1L1012,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,4,32,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L1013,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,69,42,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L1014,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,48,35,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L1015,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,19,22,Bloch,D2a,5,C,no,yes,no,spruce Bloch
F1L1016,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,4,32,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L1017,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,69,42,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L1018,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,fir,0,66,41,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L1019,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,86,47,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L1020,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,1,06,52,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L1021,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,59,39,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L1022,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,fir,1,27,57,Bloch,D5,5,B,no,yes,no,fir Bloch
F1L1023,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,83,46,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L1024,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,fir,0,76,44,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1025,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,94,49,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L1026,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,5,36,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L1027,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,53,37,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L1028,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,5,36,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L1029,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,66,41,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L1030,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,fir,0,3,28,Bloch,D2b,5,A,no,yes,no,fir Bloch
F1L1031,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,94,49,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L1032,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,fir,0,37,31,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L1033,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,28,27,Bloch,D2b,5,C,no,yes,no,larch Bloch
F1L1034,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,fir,0,66,41,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L1035,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,59,39,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L1036,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,28,27,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L1037,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,1,06,52,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L1038,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,larch,0,33,29,Bloch,D2b,5,C,no,yes,no,larch Bloch
F1L1039,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,fir,0,59,39,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L1040,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,spruce,0,37,31,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L1041,Sawmill Bioholz GmbH,forest1,37760,07-Mar-2024,fir,0,79,45,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1042,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,larch,0,83,46,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L1043,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,larch,0,76,44,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L1044,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,56,38,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L1045,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,0,56,38,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L1046,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,larch,1,06,52,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L1047,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,66,41,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L1048,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,larch,0,69,42,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L1049,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,87,40,Wertholz,D4,7,A,no,yes,no,fir Wertholz
F1L1050,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,0,5,36,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L1051,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,0,83,46,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L1052,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,98,50,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L1053,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,0,3,28,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L1054,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,72,43,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1055,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,86,47,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1056,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,59,39,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L1057,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,59,39,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L1058,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,larch,0,42,33,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L1059,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,98,50,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L1060,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,0,33,29,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L1061,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,larch,1,97,71,Bloch,D6,5,C,no,yes,no,larch Bloch
F1L1062,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,larch,0,62,40,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L1063,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,0,79,45,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L1064,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,larch,0,69,42,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L1065,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,48,35,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L1066,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,56,38,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L1067,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,0,2,23,Bloch,D2a,5,C,no,yes,no,spruce Bloch
F1L1068,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,1,62,48,Wertholz,D4,9,A,no,yes,no,spruce Wertholz
F1L1069,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,0,45,34,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L1070,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,spruce,0,53,37,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L1071,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,larch,0,45,34,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L1072,Sawmill Bioholz GmbH,forest1,89120,08-Mar-2024,fir,0,98,50,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L1073,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,24,25,Bloch,D2b,5,C,no,yes,no,fir Bloch
F1L1074,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,69,42,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1075,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,spruce,0,56,38,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L1076,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,59,39,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L1077,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,33,29,Bloch,D2b,5,C,no,yes,no,fir Bloch
F1L1078,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,larch,0,42,33,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L1079,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,larch,0,35,30,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L1080,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,53,37,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L1081,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,98,50,Bloch,D5,5,B,no,yes,no,fir Bloch
F1L1082,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,26,26,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L1083,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,larch,0,59,39,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L1084,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,2,23,Bloch,D2a,5,B,no,yes,no,fir Bloch
F1L1085,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,spruce,0,28,27,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L1086,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,spruce,0,3,28,Bloch,D2b,5,A,no,yes,no,spruce Bloch
F1L1087,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,larch,0,48,35,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L1088,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,42,33,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L1089,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,spruce,0,94,49,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L1090,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,spruce,0,9,48,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L1091,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,spruce,1,5,62,Wertholz,D6,5,A,no,yes,no,spruce Wertholz
F1L1092,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,larch,0,69,42,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L1093,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,spruce,0,9,48,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L1094,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,83,46,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1095,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,86,47,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1096,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,larch,0,62,40,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L1097,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,spruce,0,56,38,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L1098,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,76,44,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L1099,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,larch,0,42,33,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L1100,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,98,50,Bloch,D5,5,B,no,yes,no,fir Bloch
F1L1101,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,larch,0,37,31,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L1102,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,9,48,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1103,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,66,41,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1104,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,larch,1,18,55,Bloch,D5,5,B,no,yes,no,larch Bloch
F1L1105,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,fir,0,72,43,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L1106,Sawmill Bioholz GmbH,forest1,34210,11-Mar-2024,spruce,0,9,48,Bloch,D4,5,B,no,yes,no,spruce Bloch
